time	V(signal)	V(vout)
9.104043020647918e-06	-1.074839e-04	1.718391e-01
9.123574270647917e-06	-1.074839e-04	1.717176e-01
9.143105520647916e-06	-1.074839e-04	1.716024e-01
9.162636770647915e-06	-1.074839e-04	1.714931e-01
9.182168020647915e-06	-1.074839e-04	1.713893e-01
9.201699270647914e-06	-1.074839e-04	1.712909e-01
9.221230520647913e-06	-1.074839e-04	1.711975e-01
9.240761770647912e-06	-1.074839e-04	1.711090e-01
9.260293020647911e-06	-1.074839e-04	1.710250e-01
9.279824270647911e-06	-1.074839e-04	1.709454e-01
9.299355520647910e-06	-1.074839e-04	1.708699e-01
9.318886770647909e-06	-1.074839e-04	1.707983e-01
9.338418020647908e-06	-1.074839e-04	1.707305e-01
9.357949270647907e-06	-1.074839e-04	1.706663e-01
9.377480520647907e-06	-1.074839e-04	1.706054e-01
9.397011770647906e-06	-1.074839e-04	1.705477e-01
9.416543020647905e-06	-1.074839e-04	1.704931e-01
9.436074270647904e-06	-1.074839e-04	1.704413e-01
9.455605520647903e-06	-1.074839e-04	1.703923e-01
9.475136770647903e-06	-1.074839e-04	1.703459e-01
9.494668020647902e-06	-1.074839e-04	1.703019e-01
9.514199270647901e-06	-1.074839e-04	1.702604e-01
9.533730520647900e-06	-1.074839e-04	1.702210e-01
9.553261770647899e-06	-1.074839e-04	1.701837e-01
9.572793020647899e-06	-1.074839e-04	1.701485e-01
9.592324270647898e-06	-1.074839e-04	1.701152e-01
9.611855520647897e-06	-1.074839e-04	1.700837e-01
9.631386770647896e-06	-1.074839e-04	1.700538e-01
9.650918020647895e-06	-1.074839e-04	1.700256e-01
9.670449270647895e-06	-1.074839e-04	1.699990e-01
9.689980520647894e-06	-1.074839e-04	1.699738e-01
9.709511770647893e-06	-1.074839e-04	1.699500e-01
9.729043020647892e-06	-1.074839e-04	1.699275e-01
9.748574270647891e-06	-1.074839e-04	1.699062e-01
9.768105520647891e-06	-1.074839e-04	1.698861e-01
9.787636770647890e-06	-1.074839e-04	1.698672e-01
9.807168020647889e-06	-1.074839e-04	1.698493e-01
9.826699270647888e-06	-1.074839e-04	1.698324e-01
9.846230520647887e-06	-1.074839e-04	1.698164e-01
9.865761770647887e-06	-1.074839e-04	1.698013e-01
9.885293020647886e-06	-1.074839e-04	1.697871e-01
9.904824270647885e-06	-1.074839e-04	1.697737e-01
9.924355520647884e-06	-1.074839e-04	1.697611e-01
9.943886770647883e-06	-1.074839e-04	1.697491e-01
9.963418020647883e-06	-1.074839e-04	1.697379e-01
9.982949270647882e-06	-1.074839e-04	1.697273e-01
1.000248052064788e-05	-1.074839e-04	1.697173e-01
1.002201177064788e-05	-1.074839e-04	1.697079e-01
1.004154302064788e-05	-1.074839e-04	1.696990e-01
1.006107427064788e-05	-1.074839e-04	1.696907e-01
1.008060552064788e-05	-1.074839e-04	1.696828e-01
1.010013677064788e-05	-1.074839e-04	1.696754e-01
1.011966802064788e-05	-1.074839e-04	1.696684e-01
1.013919927064788e-05	-1.074839e-04	1.696618e-01
1.015873052064787e-05	-1.074839e-04	1.696557e-01
1.017826177064787e-05	-1.074839e-04	1.696499e-01
1.019779302064787e-05	-1.074839e-04	1.696444e-01
1.021732427064787e-05	-1.074839e-04	1.696392e-01
