time	V(signal)	V(vout)
1.235705225813344e-06	4.232510e-03	1.856410e-01
1.236709096579074e-06	4.249890e-03	1.858025e-01
1.236960064270506e-06	4.254233e-03	1.858431e-01
1.237461999653371e-06	4.262917e-03	1.859243e-01
1.238465870419101e-06	4.280277e-03	1.860875e-01
1.238716838110533e-06	4.284615e-03	1.861284e-01
1.239218773493398e-06	4.293289e-03	1.862105e-01
1.240222644259128e-06	4.310628e-03	1.863753e-01
1.240473611950561e-06	4.314961e-03	1.864167e-01
1.240975547333426e-06	4.323625e-03	1.864995e-01
1.241979418099155e-06	4.340945e-03	1.866660e-01
1.242230385790588e-06	4.345273e-03	1.867078e-01
1.242732321173453e-06	4.353927e-03	1.867915e-01
1.243736191939183e-06	4.371227e-03	1.869596e-01
1.243987159630615e-06	4.375549e-03	1.870018e-01
1.244489095013480e-06	4.384194e-03	1.870863e-01
1.245492965779210e-06	4.401473e-03	1.872561e-01
1.245743933470642e-06	4.405791e-03	1.872987e-01
1.246245868853507e-06	4.414425e-03	1.873840e-01
1.247249739619237e-06	4.431685e-03	1.875554e-01
1.247500707310670e-06	4.435997e-03	1.875985e-01
1.248002642693535e-06	4.444622e-03	1.876846e-01
1.249006513459264e-06	4.461861e-03	1.878577e-01
1.249257481150697e-06	4.466169e-03	1.879011e-01
1.249759416533562e-06	4.474783e-03	1.879881e-01
1.250763287299292e-06	4.492003e-03	1.881628e-01
1.251014254990724e-06	4.496306e-03	1.882067e-01
1.251516190373589e-06	4.504910e-03	1.882945e-01
