time	V(vout2)
Step Information: C=100p R=500  (Step: 1/25)
6.685043204973503e-07	2.363029e+00
6.685348380754753e-07	2.362985e+00
6.685958732317252e-07	2.362895e+00
6.687179435442253e-07	2.362716e+00
6.689620841692253e-07	2.362359e+00
6.694503654192252e-07	2.361645e+00
6.704269279192253e-07	2.360205e+00
6.723800529192253e-07	2.357293e+00
6.743331779192254e-07	2.354369e+00
6.762863029192254e-07	2.351438e+00
6.763168204973504e-07	2.351397e+00
6.763244498918817e-07	2.351386e+00
6.763397086809442e-07	2.351362e+00
6.763702262590692e-07	2.351316e+00
6.764312614153192e-07	2.351225e+00
6.765533317278192e-07	2.351042e+00
6.767974723528193e-07	2.350681e+00
6.772857536028192e-07	2.349964e+00
6.782623161028192e-07	2.348524e+00
6.802154411028193e-07	2.345607e+00
6.821685661028193e-07	2.342670e+00
6.841216911028194e-07	2.339730e+00
6.860748161028194e-07	2.336795e+00
6.863189567278195e-07	2.336429e+00
6.868072379778194e-07	2.335696e+00
6.877838004778194e-07	2.334239e+00
6.897369254778195e-07	2.331302e+00
6.916900504778195e-07	2.328358e+00
6.936431754778196e-07	2.325419e+00
6.936736930559446e-07	2.325384e+00
6.936813224504759e-07	2.325372e+00
6.936965812395384e-07	2.325348e+00
6.937270988176634e-07	2.325301e+00
6.937881339739134e-07	2.325207e+00
6.939102042864134e-07	2.325022e+00
6.939407218645384e-07	2.324977e+00
6.940017570207884e-07	2.324886e+00
6.940170158098509e-07	2.324863e+00
6.940475333879759e-07	2.324817e+00
6.941085685442259e-07	2.324727e+00
6.941238273332884e-07	2.324704e+00
6.941543449114134e-07	2.324659e+00
6.942153800676634e-07	2.324568e+00
6.943374503801634e-07	2.324388e+00
6.945815910051634e-07	2.324028e+00
6.950698722551634e-07	2.323308e+00
6.960464347551634e-07	2.321858e+00
6.962905753801634e-07	2.321496e+00
6.967788566301634e-07	2.320767e+00
6.977554191301634e-07	2.319314e+00
6.997085441301635e-07	2.316382e+00
7.016616691301635e-07	2.313443e+00
7.036147941301636e-07	2.310511e+00
7.055679191301636e-07	2.307583e+00
7.075210441301637e-07	2.304656e+00
7.094741691301637e-07	2.301737e+00
7.114272941301638e-07	2.298814e+00
7.133804191301638e-07	2.295907e+00
7.153335441301638e-07	2.292991e+00
7.172866691301639e-07	2.290096e+00
7.192397941301639e-07	2.287189e+00
7.211929191301640e-07	2.284301e+00
7.231460441301640e-07	2.281410e+00
7.250991691301641e-07	2.278531e+00
7.270522941301641e-07	2.275648e+00
7.290054191301642e-07	2.272782e+00
7.309585441301642e-07	2.269911e+00
7.329116691301643e-07	2.267056e+00
7.348647941301643e-07	2.264196e+00
7.368179191301644e-07	2.261353e+00
7.368484367082894e-07	2.261305e+00
7.368560661028207e-07	2.261294e+00
7.368713248918832e-07	2.261272e+00
7.369018424700082e-07	2.261228e+00
7.369628776262582e-07	2.261139e+00
7.369781364153207e-07	2.261117e+00
7.370086539934457e-07	2.261073e+00
7.370696891496957e-07	2.260985e+00
7.371917594621957e-07	2.260809e+00
7.374359000871957e-07	2.260459e+00
7.374969352434457e-07	2.260372e+00
7.376190055559457e-07	2.260198e+00
7.378631461809457e-07	2.259853e+00
7.383514274309457e-07	2.259164e+00
7.393279899309457e-07	2.257771e+00
7.412811149309457e-07	2.254948e+00
7.415252555559458e-07	2.254597e+00
7.415862907121957e-07	2.254509e+00
7.417083610246957e-07	2.254331e+00
7.419525016496958e-07	2.253981e+00
7.424407828996957e-07	2.253286e+00
7.434173453996958e-07	2.251886e+00
7.453704703996958e-07	2.249058e+00
7.473235953996959e-07	2.246222e+00
7.492767203996959e-07	2.243393e+00
7.512298453996960e-07	2.240574e+00
7.531829703996960e-07	2.237756e+00
7.534271110246960e-07	2.237410e+00
7.539153922746960e-07	2.236711e+00
7.548919547746960e-07	2.235320e+00
7.549224723528210e-07	2.235280e+00
7.549301017473523e-07	2.235269e+00
7.549453605364148e-07	2.235247e+00
7.549758781145398e-07	2.235203e+00
