time	V(vout)	V(vout2)
1.030078057746853e-08	1.259315e-01	1.640853e+00
1.034765557440809e-08	1.259316e-01	1.640848e+00
1.035937432364298e-08	1.259316e-01	1.640847e+00
1.038281182211276e-08	1.259316e-01	1.640844e+00
1.042968681905232e-08	1.259316e-01	1.640839e+00
1.044140556828721e-08	1.259317e-01	1.640837e+00
1.046484306675699e-08	1.259317e-01	1.640835e+00
1.051171806369655e-08	1.259317e-01	1.640830e+00
1.052343681293144e-08	1.259317e-01	1.640828e+00
1.054687431140122e-08	1.259317e-01	1.640826e+00
1.059374930834078e-08	1.259318e-01	1.640821e+00
1.060546805757567e-08	1.259318e-01	1.640820e+00
1.062890555604545e-08	1.259318e-01	1.640817e+00
1.067578055298501e-08	1.259318e-01	1.640812e+00
1.068749930221990e-08	1.259319e-01	1.640811e+00
1.071093680068969e-08	1.259319e-01	1.640808e+00
1.075781179762925e-08	1.259319e-01	1.640804e+00
1.076953054686414e-08	1.259319e-01	1.640802e+00
1.079296804533392e-08	1.259319e-01	1.640800e+00
1.083984304227348e-08	1.259320e-01	1.640795e+00
1.085156179150837e-08	1.259320e-01	1.640794e+00
1.087499928997815e-08	1.259320e-01	1.640792e+00
1.092187428691771e-08	1.259321e-01	1.640787e+00
1.093359303615260e-08	1.259321e-01	1.640786e+00
1.095703053462238e-08	1.259321e-01	1.640784e+00
1.096288990923983e-08	1.259321e-01	1.640783e+00
1.097460865847472e-08	1.259321e-01	1.640782e+00
1.099804615694450e-08	1.259321e-01	1.640779e+00
1.104492115388406e-08	1.259322e-01	1.640775e+00
1.105663990311895e-08	1.259322e-01	1.640774e+00
1.108007740158873e-08	1.259322e-01	1.640772e+00
1.112695239852829e-08	1.259322e-01	1.640767e+00
1.113867114776318e-08	1.259322e-01	1.640766e+00
1.116210864623296e-08	1.259323e-01	1.640764e+00
1.120898364317252e-08	1.259323e-01	1.640759e+00
1.122070239240741e-08	1.259323e-01	1.640758e+00
1.124413989087719e-08	1.259324e-01	1.640756e+00
1.129101488781675e-08	1.259324e-01	1.640751e+00
1.130273363705164e-08	1.259324e-01	1.640750e+00
1.132617113552142e-08	1.259324e-01	1.640748e+00
1.137304613246098e-08	1.259325e-01	1.640743e+00
1.138476488169587e-08	1.259325e-01	1.640742e+00
1.140820238016566e-08	1.259325e-01	1.640740e+00
1.145507737710522e-08	1.259325e-01	1.640736e+00
1.146679612634011e-08	1.259325e-01	1.640735e+00
1.149023362480989e-08	1.259326e-01	1.640733e+00
1.153710862174945e-08	1.259326e-01	1.640728e+00
1.154882737098434e-08	1.259326e-01	1.640727e+00
1.157226486945412e-08	1.259326e-01	1.640725e+00
1.161913986639368e-08	1.259327e-01	1.640721e+00
1.163085861562857e-08	1.259327e-01	1.640720e+00
1.165429611409835e-08	1.259327e-01	1.640718e+00
1.170117111103791e-08	1.259328e-01	1.640714e+00
1.171288986027280e-08	1.259328e-01	1.640713e+00
1.173632735874258e-08	1.259328e-01	1.640711e+00
1.178320235568214e-08	1.259328e-01	1.640707e+00
1.179492110491703e-08	1.259329e-01	1.640707e+00
1.181835860338681e-08	1.259329e-01	1.640705e+00
1.186523360032637e-08	1.259329e-01	1.640701e+00
1.187695234956126e-08	1.259329e-01	1.640700e+00
1.190038984803105e-08	1.259329e-01	1.640698e+00
1.190624922264849e-08	1.259330e-01	1.640698e+00
1.191796797188338e-08	1.259330e-01	1.640697e+00
1.194140547035316e-08	1.259330e-01	1.640695e+00
1.198828046729272e-08	1.259330e-01	1.640691e+00
1.199999921652761e-08	1.259331e-01	1.640690e+00
1.202343671499739e-08	1.259331e-01	1.640688e+00
1.207031171193695e-08	1.259331e-01	1.640685e+00
1.208203046117184e-08	1.259331e-01	1.640684e+00
1.210546795964162e-08	1.259332e-01	1.640682e+00
1.215234295658119e-08	1.259332e-01	1.640678e+00
1.216406170581608e-08	1.259332e-01	1.640677e+00
1.218749920428586e-08	1.259332e-01	1.640675e+00
1.223437420122542e-08	1.259333e-01	1.640672e+00
1.224609295046031e-08	1.259333e-01	1.640671e+00
1.226953044893009e-08	1.259333e-01	1.640669e+00
1.227538982354753e-08	1.259333e-01	1.640669e+00
1.228710857278242e-08	1.259333e-01	1.640668e+00
1.231054607125220e-08	1.259333e-01	1.640666e+00
1.235742106819177e-08	1.259334e-01	1.640662e+00
1.236913981742666e-08	1.259334e-01	1.640662e+00
1.239257731589644e-08	1.259334e-01	1.640660e+00
1.243945231283600e-08	1.259335e-01	1.640656e+00
1.245117106207089e-08	1.259335e-01	1.640655e+00
1.247460856054067e-08	1.259335e-01	1.640653e+00
1.252148355748023e-08	1.259336e-01	1.640650e+00
1.253320230671512e-08	1.259336e-01	1.640649e+00
1.255663980518490e-08	1.259336e-01	1.640647e+00
1.260351480212446e-08	1.259336e-01	1.640644e+00
1.261523355135935e-08	1.259337e-01	1.640643e+00
1.263867104982913e-08	1.259337e-01	1.640641e+00
1.268554604676869e-08	1.259337e-01	1.640638e+00
1.269726479600358e-08	1.259338e-01	1.640637e+00
1.272070229447336e-08	1.259338e-01	1.640636e+00
1.276757729141292e-08	1.259338e-01	1.640632e+00
1.277929604064781e-08	1.259338e-01	1.640632e+00
1.280273353911759e-08	1.259339e-01	1.640630e+00
1.284960853605716e-08	1.259339e-01	1.640627e+00
1.286132728529205e-08	1.259339e-01	1.640626e+00
1.288476478376183e-08	1.259339e-01	1.640625e+00
1.293163978070139e-08	1.259340e-01	1.640622e+00
1.294335852993628e-08	1.259340e-01	1.640621e+00
1.296679602840606e-08	1.259340e-01	1.640619e+00
1.301367102534562e-08	1.259341e-01	1.640616e+00
1.302538977458051e-08	1.259341e-01	1.640616e+00
1.304882727305029e-08	1.259341e-01	1.640614e+00
1.309570226998985e-08	1.259342e-01	1.640611e+00
1.310742101922474e-08	1.259342e-01	1.640611e+00
1.313085851769452e-08	1.259342e-01	1.640609e+00
1.317773351463408e-08	1.259343e-01	1.640607e+00
1.318945226386897e-08	1.259343e-01	1.640606e+00
1.321288976233875e-08	1.259343e-01	1.640605e+00
1.325976475927831e-08	1.259343e-01	1.640602e+00
1.327148350851320e-08	1.259344e-01	1.640601e+00
1.329492100698298e-08	1.259344e-01	1.640600e+00
1.334179600392255e-08	1.259345e-01	1.640598e+00
1.335351475315744e-08	1.259345e-01	1.640597e+00
1.337695225162722e-08	1.259345e-01	1.640596e+00
1.342382724856678e-08	1.259345e-01	1.640593e+00
1.343554599780167e-08	1.259346e-01	1.640593e+00
1.345898349627145e-08	1.259346e-01	1.640592e+00
1.350585849321101e-08	1.259346e-01	1.640589e+00
1.351757724244590e-08	1.259346e-01	1.640589e+00
1.354101474091568e-08	1.259347e-01	1.640587e+00
1.358788973785524e-08	1.259347e-01	1.640585e+00
1.359960848709013e-08	1.259347e-01	1.640585e+00
1.362304598555991e-08	1.259348e-01	1.640584e+00
1.366992098249947e-08	1.259348e-01	1.640581e+00
